শাংথনা	ꯁꯥꯡꯊꯅꯥ
লৈখিদবনি	ꯂꯩꯈꯤꯗꯕꯅꯤ
এলদিগী	ꯑꯦꯂꯗꯤꯒꯤ
ত্রেন্নি	ꯇ꯭ꯔꯦꯟꯅꯤ
মাংহনবীখ্রে	ꯃꯥꯡꯍꯟꯕꯤꯈ꯭ꯔꯦ
সাজেসন	ꯁꯥꯖꯦꯁꯟ
উনদ্রিঙৈগী	ꯎꯟꯗ꯭ꯔꯤꯉꯩꯒꯤ
হোলদসু	ꯍꯣꯜꯗꯁꯨ
ফ্রান্সিস	ꯐ꯭ꯔꯥꯟꯁꯤꯁ
জয়কিসন্না	ꯖꯌꯀꯤꯁꯟꯅꯥ
ঈশৈবু	ꯏꯁꯩꯕꯨ
পাউৱি	ꯄꯥꯎꯋꯤ
থুংহনবা	ꯊꯨꯡꯍꯟꯕꯥ
কম্মান্দগা	ꯀꯝꯃꯥꯟ꯭ꯗꯒꯥ
দিমান্স	ꯗꯤꯃꯥꯟ꯭ꯁ
সনামহীনা	ꯁꯅꯥꯃꯍꯤꯅꯥ
নুমিৎতদি	ꯅꯨꯃꯤꯠꯇꯗꯤ
য়োংনা	ꯌꯣꯡꯅꯥ
লান্থোক্লগা	ꯂꯥꯟꯊꯣꯀꯂ꯭ꯒꯥ
গোভকী	ꯒꯣꯚꯀꯤ
হেনগৎহনগনি	ꯍꯦꯟꯒꯠꯍꯟꯒꯅꯤ
শোকনা	ꯁꯣꯛꯅꯥ
কোর্ড	ꯀꯣꯔ꯭ꯗ
পেকফমশিংনা	ꯄꯦꯛꯐꯝꯁꯤꯡꯅꯥ
পীশিনদ্রিঙৈদা	ꯄꯤꯁꯤꯟꯗ꯭ꯔꯤꯉꯩꯗꯥ
সুব্রা	ꯁꯨꯕ꯭ꯔꯥ
ভারতলোমদা	ꯚꯥꯔꯠꯂꯣꯝꯗꯥ
ভাইওলোজিগা	ꯚꯥꯢꯑꯣꯂꯣꯖꯤꯒꯥ
কম্পু	ꯀꯝꯄꯨ
হৌখিবনি	ꯍꯧꯈꯤꯕꯅꯤ
নৌন	ꯅꯧꯅ
কোভাকসিন	ꯀꯣꯚꯥꯛꯁꯤꯟ
কমু্যনেল	ꯀꯃꯨꯢꯅꯦꯜ
মরূপ্পু	ꯃꯔꯨꯞꯄꯨ
ৱার্কসোপশিং	ꯋꯥꯔ꯭ꯀꯁꯣꯞꯁꯤꯡ
হঞ্জিন	ꯍꯟꯖꯤꯟ
তৌবিরক্নবসু	ꯇꯧꯕꯤꯔꯛꯅꯕꯁꯨ
নাগালেন্দলোম	ꯅꯥꯒꯥꯂꯦꯟ꯭ꯗꯂꯣꯝ
মু্যজিয়মদা	ꯃꯨꯢꯖꯤꯌꯝꯗꯥ
ৱানশিনবগী	ꯋꯥꯟꯁꯤꯟꯕꯒꯤ
কুমাং	ꯀꯨꯃꯥꯡ
অঙ্গনৱাদি	ꯑꯪꯒꯟꯋꯥꯗꯤ
অনিমখায়রোম	ꯑꯅꯤꯃꯈꯥꯢꯔꯣꯝ
আরকি	ꯑꯥꯔꯀꯤ
বেষ্ট	ꯕꯦꯁ꯭ꯇ
কমপ্রিহেনসিব	ꯀꯝꯄ꯭ꯔꯤꯍꯦꯟꯁꯤꯕ
উহন্দনা	ꯎꯍꯟꯗꯅꯥ
য়ুমনাম	ꯌꯨꯝꯅꯥꯝ
পেমেন্টশিং	ꯄꯦꯃꯦꯟ꯭ꯇꯁꯤꯡ
নিংশিংলুদ্রগসু	ꯅꯤꯡꯁꯤꯡꯂꯨꯗ꯭ꯔꯒꯁꯨ
আকয়	ꯑꯥꯀꯌ
হকচাংদা	ꯍꯛꯆꯥꯡꯗꯥ
ফুরা	ꯐꯨꯔꯥ
জি	ꯖꯤ
য়াথোরক্পদুদা	ꯌꯥꯊꯣꯔꯛꯄꯗꯨꯗꯥ
উত্তম	ꯎꯠꯇꯝ
তকশিল্লুনবা	ꯇꯛꯁꯤꯜꯂꯨꯅꯕꯥ
পুখৎলবা	ꯄꯨꯈꯠꯂꯕꯥ
ক্বিট	ꯀ꯭ꯋꯤꯠ
অতেনবা	ꯑꯇꯦꯟꯕꯥ
হাপ্লবদি	ꯍꯥꯞꯂꯕꯗꯤ
ইমোইনুগী	ꯏꯃꯣꯢꯅꯨꯒꯤ
হৈরানচিংবা	ꯍꯩꯔꯥꯅꯆꯤꯡꯕꯥ
মনাইশিংবু	ꯃꯅꯥꯢꯁꯤꯡꯕꯨ
পাউদম	ꯄꯥꯎꯗꯝ
শেন্থংগী	ꯁꯦꯟꯊꯪꯒꯤ
পাটেল	ꯄꯥꯇꯦꯜ
পোকখিবনি	ꯄꯣꯛꯈꯤꯕꯅꯤ
ফুরুম্বগী	ꯐꯨꯔꯨꯝꯕꯒꯤ
প্রোগ্রামশিং	ꯄ꯭ꯔꯣꯒ꯭ꯔꯥꯝꯁꯤꯡ
অসিদা	ꯑꯁꯤꯗꯥ
হাংদোকপনা	ꯍꯥꯡꯗꯣꯛꯄꯅꯥ
গুরুময়ুমনা	ꯒꯨꯔꯨꯃꯌꯨꯝꯅꯥ
ফিয়োংগী	ꯐꯤꯌꯣꯡꯒꯤ
দিষ্টিক্টনা	ꯗꯤꯁꯇꯤꯛ꯭ꯇꯅꯥ
তাকয়েলপাৎকী	ꯇꯥꯀꯌꯦꯜꯄꯥꯠꯀꯤ
মাজুলিদগী	ꯃꯥꯖꯨꯂꯤꯗꯒꯤ
জাবরেকরসু	ꯖꯥꯕꯔꯦꯀꯔꯁꯨ
মচাশিংদু	ꯃꯆꯥꯁꯤꯡꯗꯨ
কৈরাক্তা	ꯀꯩꯔꯥꯛꯇꯥ
রাষ্ট্রদুতনা	ꯔꯥꯁꯇ꯭ꯔꯗꯨꯠꯅꯥ
রাউন্দদা	ꯔꯥꯎꯟ꯭ꯗꯗꯥ
পুসপা	ꯄꯨꯁꯄꯥ
ক্যুলোসিস	ꯀ꯭ꯌꯨꯂꯣꯁꯤꯁ
ফাইনান্সিং	ꯐꯥꯢꯅꯥꯟꯁꯤꯡ
খরখক্তদা	ꯈꯔꯈꯛꯇꯗꯥ
আগরবর্তিগী	ꯑꯥꯒꯔꯕꯔꯇꯤꯒꯤ
নুংঙাইনরম্দে	ꯅꯨꯡꯉꯥꯢꯟꯔꯝꯗꯦ
কষ্টমারি	ꯀꯁꯇꯃꯥꯔꯤ
য়াহল্লম্বা	ꯌꯥꯍꯜꯂꯝꯕꯥ
পাংখিবা	ꯄꯥꯡꯈꯤꯕꯥ
এদমিনিষ্ট্রেতরশিংনা	ꯑꯦꯗꯃꯤꯅꯤꯁꯇ꯭ꯔꯦꯇꯔꯁꯤꯡꯅꯥ
শোশিং	ꯁꯣꯁꯤꯡ
মীংয়েং	ꯃꯤꯡꯌꯦꯡ
দষ্টক্কী	ꯗꯁꯇꯛꯀꯤ
ভাইলগী	ꯚꯥꯢꯜꯒꯤ
মৈরাগা	ꯃꯩꯔꯥꯒꯥ
লানফমগী	ꯂꯥꯟꯐꯝꯒꯤ
গুরুবু	ꯒꯨꯔꯨꯕꯨ
নুমিত্তসু	ꯅꯨꯃꯤꯠꯇꯁꯨ
চৎপদগীনি	ꯆꯠꯄꯗꯒꯤꯅꯤ
প্রাইভেতাইজ	ꯄ꯭ꯔꯥꯢꯚꯦꯇꯥꯢꯖ
পুরকখ্রবা	ꯄꯨꯔꯛꯈ꯭ꯔꯕꯥ
চংলক্লিবা	ꯆꯪꯂꯛꯂꯤꯕꯥ
লমদগীসু	ꯂꯝꯗꯒꯤꯁꯨ
শকখংখিবা	ꯁꯛꯈꯪꯈꯤꯕꯥ
অমগী	ꯑꯝꯒꯤ
চুপ্থোক্লে	ꯆꯨꯞꯊꯣꯛꯂꯦ
মমাঙদগী	ꯃꯃꯥꯡꯗꯒꯤ
হংবদগী	ꯍꯪꯕꯗꯒꯤ
গ্রাউন্দ	ꯒ꯭ꯔꯥꯎꯟ꯭ꯗ
চংশিনবদগী	ꯆꯪꯁꯤꯟꯕꯗꯒꯤ
খাঙ্বদা	ꯈꯥꯡꯕꯗꯥ
শোরারেন্দগী	ꯁꯣꯔꯥꯔꯦꯟꯗꯒꯤ
ওশিংদগী	ꯑꯣꯁꯤꯡꯗꯒꯤ
তংখাইদমক	ꯇꯪꯈꯥꯢꯗꯃꯛ
নিপপোন	ꯅꯤꯞꯄꯣꯟ
ৱেবিনার	ꯋꯦꯕꯤꯅꯥꯔ
ঙাক্তুনা	ꯉꯥꯛꯇꯨꯅꯥ
রেমদেসিভির	ꯔꯦꯝꯗꯦꯁꯤꯚꯤꯔ
থোন্বীরে	ꯊꯣꯟꯕꯤꯔꯦ
জাগরনগী	ꯖꯥꯒꯔꯟꯒꯤ
ভেলরদা	ꯚꯦꯂꯔꯗꯥ
হোত্নরিবা	ꯍꯣꯠꯅꯔꯤꯕꯥ
থাপানা	ꯊꯥꯄꯥꯅꯥ
হন্দ্রেদ	ꯍꯟꯗ꯭ꯔꯦꯗ
ফোংদোক্নবসু	ꯐꯣꯡꯗꯣꯛꯅꯕꯁꯨ
ঙরাংগা	ꯉꯔꯥꯡꯒꯥ
চঙ্বনিনা	ꯆꯪꯕꯅꯤꯅꯥ
কনেম	ꯀꯅꯦꯝ
চিংখত্লগা	ꯆꯤꯡꯈꯠꯂꯒꯥ
হরৱান	ꯍꯔꯋꯥꯟ
পক্সাশানা	ꯄꯛꯁꯥꯁꯥꯅꯥ
হৌননবা	ꯍꯧꯅꯅꯕꯥ
ভিল্লিদা	ꯚꯤꯜꯂꯤꯗꯥ
রেজিস্তের	ꯔꯦꯖꯤꯁꯇꯦꯔ
খঙ্নরে	ꯈꯪꯅꯔꯦ
থেংনরিঙৈ	ꯊꯦꯡꯅꯔꯤꯉꯩ
মহারস্ত্র	ꯃꯍꯥꯔꯁꯇ꯭ꯔ
ফেসমাক্স	ꯐꯦꯁꯃꯥꯛ꯭ꯁ
মীতৈশিংতনা	ꯃꯤꯇꯩꯁꯤꯡꯇꯅꯥ
য়াখিদ্রা	ꯌꯥꯈꯤꯗ꯭ꯔꯥ
দিপুটি	ꯗꯤꯄꯨꯇꯤ
পিষ্টোল	ꯄꯤꯁꯇꯣꯜ
হিংজবা	ꯍꯤꯡꯖꯕꯥ
থাদখ্রে	ꯊꯥꯗꯈ꯭ꯔꯦ
শান্নরোইশিংদা	ꯁꯥꯟꯅꯔꯣꯢꯁꯤꯡꯗꯥ
সুক্লাবৈদ্যানা	ꯁꯨꯛꯂꯥꯕꯩꯗꯌꯥꯅꯥ
নুংথিন	ꯅꯨꯡꯊꯤꯟ
লৈবনা	ꯂꯩꯕꯅꯥ
লোইরবা	ꯂꯣꯢꯔꯕꯥ
খুল্দুদগী	ꯈꯨꯜꯗꯨꯗꯒꯤ
হায়জরকপা	ꯍꯥꯢꯖꯔꯛꯄꯥ
অতম্ননা	ꯑꯇꯝꯅꯅꯥ
ভেনিস	ꯚꯦꯅꯤꯁ
ইমাঙ্দা	ꯏꯃꯥꯡꯗꯥ
চত্থখিগদে	ꯆꯠꯊꯈꯤꯒꯗꯦ
য়োক্হৌ	ꯌꯣꯛꯍꯧ
তৌথোকপীদুনা	ꯇꯧꯊꯣꯛꯄꯤꯗꯨꯅꯥ
ওইখ্রবশিং	ꯑꯣꯢꯈ꯭ꯔꯕꯁꯤꯡ
লোয়শিনখিবনি	ꯂꯣꯢꯁꯤꯟꯈꯤꯕꯅꯤ
থোইবা	ꯊꯣꯢꯕꯥ
তাকহৎলম্বা	ꯇꯥꯛꯍꯜꯂꯝꯕꯥ
থৌজল	ꯊꯧꯖꯜ
ফরকখিবগা	ꯐꯔꯛꯈꯤꯕꯒꯥ
মপীদু	ꯃꯄꯤꯗꯨ
চেন্নাইখক্তদা	ꯆꯦꯟꯅꯥꯢꯈꯛꯇꯗꯥ
