2025-05-12 18:13:56,385 (xlit_task:132)  INFO: Data Information:
2025-05-12 18:17:38,772 (save:44)  INFO: Saved best word accuracy model at epoch 1.
2025-05-12 18:17:38,777 (save:48)  INFO: Saved latest model at epoch 1.
2025-05-12 18:17:39,915 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:17:39,916 (xlit_task:190)  INFO: Epoch 2/50
2025-05-12 18:20:51,334 (xlit_task:200)  INFO: Train Loss: 0.1939
2025-05-12 18:21:08,433 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 2.
2025-05-12 18:21:08,435 (xlit_task:238)  INFO: Val Loss: 0.1518, CER: 0.5533, Word Accuracy: 0.0052
2025-05-12 18:21:08,436 (xlit_task:249)  INFO: Epoch 2 duration: 208.52 sec | ETA: 02:46:48
2025-05-12 18:21:08,443 (save:32)  INFO: Saved best training loss model at epoch 2.
2025-05-12 18:21:08,448 (save:38)  INFO: Saved best validation loss model at epoch 2.
2025-05-12 18:21:08,453 (save:44)  INFO: Saved best word accuracy model at epoch 2.
2025-05-12 18:21:08,459 (save:48)  INFO: Saved latest model at epoch 2.
2025-05-12 18:21:09,667 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:21:09,669 (xlit_task:190)  INFO: Epoch 3/50
2025-05-12 18:24:16,886 (xlit_task:200)  INFO: Train Loss: 0.1284
2025-05-12 18:24:37,176 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 3.
2025-05-12 18:24:37,177 (xlit_task:238)  INFO: Val Loss: 0.0976, CER: 0.3634, Word Accuracy: 0.0720
2025-05-12 18:24:37,179 (xlit_task:249)  INFO: Epoch 3 duration: 207.51 sec | ETA: 02:42:32
2025-05-12 18:24:37,186 (save:32)  INFO: Saved best training loss model at epoch 3.
2025-05-12 18:24:37,191 (save:38)  INFO: Saved best validation loss model at epoch 3.
2025-05-12 18:24:37,197 (save:44)  INFO: Saved best word accuracy model at epoch 3.
2025-05-12 18:24:37,202 (save:48)  INFO: Saved latest model at epoch 3.
2025-05-12 18:24:38,417 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:24:38,418 (xlit_task:190)  INFO: Epoch 4/50
2025-05-12 18:27:43,116 (xlit_task:200)  INFO: Train Loss: 0.0850
2025-05-12 18:28:05,765 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 4.
2025-05-12 18:28:05,766 (xlit_task:238)  INFO: Val Loss: 0.0585, CER: 0.2031, Word Accuracy: 0.3272
2025-05-12 18:28:05,767 (xlit_task:249)  INFO: Epoch 4 duration: 207.35 sec | ETA: 02:38:58
2025-05-12 18:28:05,774 (save:32)  INFO: Saved best training loss model at epoch 4.
2025-05-12 18:28:05,779 (save:38)  INFO: Saved best validation loss model at epoch 4.
2025-05-12 18:28:05,785 (save:44)  INFO: Saved best word accuracy model at epoch 4.
2025-05-12 18:28:05,790 (save:48)  INFO: Saved latest model at epoch 4.
2025-05-12 18:28:07,023 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:28:07,024 (xlit_task:190)  INFO: Epoch 5/50
2025-05-12 18:31:08,755 (xlit_task:200)  INFO: Train Loss: 0.0550
2025-05-12 18:31:29,153 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 5.
2025-05-12 18:31:29,154 (xlit_task:238)  INFO: Val Loss: 0.0383, CER: 0.1277, Word Accuracy: 0.5318
2025-05-12 18:31:29,155 (xlit_task:249)  INFO: Epoch 5 duration: 202.13 sec | ETA: 02:31:35
2025-05-12 18:31:29,162 (save:32)  INFO: Saved best training loss model at epoch 5.
2025-05-12 18:31:29,167 (save:38)  INFO: Saved best validation loss model at epoch 5.
2025-05-12 18:31:29,173 (save:44)  INFO: Saved best word accuracy model at epoch 5.
2025-05-12 18:31:29,178 (save:48)  INFO: Saved latest model at epoch 5.
2025-05-12 18:31:30,444 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:31:30,445 (xlit_task:190)  INFO: Epoch 6/50
2025-05-12 18:34:31,685 (xlit_task:200)  INFO: Train Loss: 0.0387
2025-05-12 18:34:52,029 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 6.
2025-05-12 18:34:52,030 (xlit_task:238)  INFO: Val Loss: 0.0267, CER: 0.0871, Word Accuracy: 0.6612
2025-05-12 18:34:52,032 (xlit_task:249)  INFO: Epoch 6 duration: 201.59 sec | ETA: 02:27:49
2025-05-12 18:34:52,038 (save:32)  INFO: Saved best training loss model at epoch 6.
2025-05-12 18:34:52,043 (save:38)  INFO: Saved best validation loss model at epoch 6.
2025-05-12 18:34:52,049 (save:44)  INFO: Saved best word accuracy model at epoch 6.
2025-05-12 18:34:52,054 (save:48)  INFO: Saved latest model at epoch 6.
2025-05-12 18:34:52,057 (save:73)  INFO: Removed evicted model from epoch 1.
2025-05-12 18:34:53,252 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:34:53,253 (xlit_task:190)  INFO: Epoch 7/50
2025-05-12 18:37:56,215 (xlit_task:200)  INFO: Train Loss: 0.0295
2025-05-12 18:38:16,401 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 7.
2025-05-12 18:38:16,403 (xlit_task:238)  INFO: Val Loss: 0.0210, CER: 0.0660, Word Accuracy: 0.7296
2025-05-12 18:38:16,404 (xlit_task:249)  INFO: Epoch 7 duration: 203.15 sec | ETA: 02:25:35
2025-05-12 18:38:16,410 (save:32)  INFO: Saved best training loss model at epoch 7.
2025-05-12 18:38:16,415 (save:38)  INFO: Saved best validation loss model at epoch 7.
2025-05-12 18:38:16,421 (save:44)  INFO: Saved best word accuracy model at epoch 7.
2025-05-12 18:38:16,426 (save:48)  INFO: Saved latest model at epoch 7.
2025-05-12 18:38:16,429 (save:73)  INFO: Removed evicted model from epoch 2.
2025-05-12 18:38:17,610 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:38:17,612 (xlit_task:190)  INFO: Epoch 8/50
2025-05-12 18:41:21,242 (xlit_task:200)  INFO: Train Loss: 0.0241
2025-05-12 18:41:41,640 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 8.
2025-05-12 18:41:41,641 (xlit_task:238)  INFO: Val Loss: 0.0174, CER: 0.0548, Word Accuracy: 0.7652
2025-05-12 18:41:41,642 (xlit_task:249)  INFO: Epoch 8 duration: 204.03 sec | ETA: 02:22:49
2025-05-12 18:41:41,649 (save:32)  INFO: Saved best training loss model at epoch 8.
2025-05-12 18:41:41,654 (save:38)  INFO: Saved best validation loss model at epoch 8.
2025-05-12 18:41:41,660 (save:44)  INFO: Saved best word accuracy model at epoch 8.
2025-05-12 18:41:41,665 (save:48)  INFO: Saved latest model at epoch 8.
2025-05-12 18:41:41,668 (save:73)  INFO: Removed evicted model from epoch 3.
2025-05-12 18:41:42,857 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:41:42,858 (xlit_task:190)  INFO: Epoch 9/50
2025-05-12 18:44:45,839 (xlit_task:200)  INFO: Train Loss: 0.0203
2025-05-12 18:45:05,575 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 9.
2025-05-12 18:45:05,576 (xlit_task:238)  INFO: Val Loss: 0.0151, CER: 0.0467, Word Accuracy: 0.7977
2025-05-12 18:45:05,577 (xlit_task:249)  INFO: Epoch 9 duration: 202.72 sec | ETA: 02:18:31
2025-05-12 18:45:05,584 (save:32)  INFO: Saved best training loss model at epoch 9.
2025-05-12 18:45:05,590 (save:38)  INFO: Saved best validation loss model at epoch 9.
2025-05-12 18:45:05,596 (save:44)  INFO: Saved best word accuracy model at epoch 9.
2025-05-12 18:45:05,601 (save:48)  INFO: Saved latest model at epoch 9.
2025-05-12 18:45:05,604 (save:73)  INFO: Removed evicted model from epoch 4.
2025-05-12 18:45:06,877 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:45:06,878 (xlit_task:190)  INFO: Epoch 10/50
2025-05-12 18:48:09,800 (xlit_task:200)  INFO: Train Loss: 0.0179
2025-05-12 18:48:30,121 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 10.
2025-05-12 18:48:30,123 (xlit_task:238)  INFO: Val Loss: 0.0135, CER: 0.0422, Word Accuracy: 0.8118
2025-05-12 18:48:30,124 (xlit_task:249)  INFO: Epoch 10 duration: 203.25 sec | ETA: 02:15:29
2025-05-12 18:48:30,130 (save:32)  INFO: Saved best training loss model at epoch 10.
2025-05-12 18:48:30,137 (save:38)  INFO: Saved best validation loss model at epoch 10.
2025-05-12 18:48:30,142 (save:44)  INFO: Saved best word accuracy model at epoch 10.
2025-05-12 18:48:30,147 (save:48)  INFO: Saved latest model at epoch 10.
2025-05-12 18:48:30,150 (save:73)  INFO: Removed evicted model from epoch 5.
2025-05-12 18:48:31,370 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:48:31,371 (xlit_task:190)  INFO: Epoch 11/50
2025-05-12 18:51:33,311 (xlit_task:200)  INFO: Train Loss: 0.0158
2025-05-12 18:51:53,057 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 11.
2025-05-12 18:51:53,058 (xlit_task:238)  INFO: Val Loss: 0.0124, CER: 0.0365, Word Accuracy: 0.8369
2025-05-12 18:51:53,060 (xlit_task:249)  INFO: Epoch 11 duration: 201.69 sec | ETA: 02:11:05
2025-05-12 18:51:53,066 (save:32)  INFO: Saved best training loss model at epoch 11.
2025-05-12 18:51:53,072 (save:38)  INFO: Saved best validation loss model at epoch 11.
2025-05-12 18:51:53,078 (save:44)  INFO: Saved best word accuracy model at epoch 11.
2025-05-12 18:51:53,083 (save:48)  INFO: Saved latest model at epoch 11.
2025-05-12 18:51:53,086 (save:73)  INFO: Removed evicted model from epoch 6.
2025-05-12 18:51:54,310 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:51:54,311 (xlit_task:190)  INFO: Epoch 12/50
2025-05-12 18:54:55,482 (xlit_task:200)  INFO: Train Loss: 0.0141
2025-05-12 18:55:15,596 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 12.
2025-05-12 18:55:15,597 (xlit_task:238)  INFO: Val Loss: 0.0119, CER: 0.0353, Word Accuracy: 0.8418
2025-05-12 18:55:15,599 (xlit_task:249)  INFO: Epoch 12 duration: 201.29 sec | ETA: 02:07:28
2025-05-12 18:55:15,605 (save:32)  INFO: Saved best training loss model at epoch 12.
2025-05-12 18:55:15,702 (save:38)  INFO: Saved best validation loss model at epoch 12.
2025-05-12 18:55:15,898 (save:44)  INFO: Saved best word accuracy model at epoch 12.
2025-05-12 18:55:15,911 (save:48)  INFO: Saved latest model at epoch 12.
2025-05-12 18:55:15,915 (save:73)  INFO: Removed evicted model from epoch 7.
2025-05-12 18:55:17,149 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:55:17,150 (xlit_task:190)  INFO: Epoch 13/50
2025-05-12 18:58:19,687 (xlit_task:200)  INFO: Train Loss: 0.0130
2025-05-12 18:58:39,725 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 13.
2025-05-12 18:58:39,726 (xlit_task:238)  INFO: Val Loss: 0.0104, CER: 0.0305, Word Accuracy: 0.8621
2025-05-12 18:58:39,727 (xlit_task:249)  INFO: Epoch 13 duration: 202.58 sec | ETA: 02:04:55
2025-05-12 18:58:39,733 (save:32)  INFO: Saved best training loss model at epoch 13.
2025-05-12 18:58:39,740 (save:38)  INFO: Saved best validation loss model at epoch 13.
2025-05-12 18:58:39,746 (save:44)  INFO: Saved best word accuracy model at epoch 13.
2025-05-12 18:58:39,751 (save:48)  INFO: Saved latest model at epoch 13.
2025-05-12 18:58:39,754 (save:73)  INFO: Removed evicted model from epoch 8.
2025-05-12 18:58:40,993 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 18:58:40,994 (xlit_task:190)  INFO: Epoch 14/50
2025-05-12 19:01:41,355 (xlit_task:200)  INFO: Train Loss: 0.0121
2025-05-12 19:02:01,553 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 14.
2025-05-12 19:02:01,555 (xlit_task:238)  INFO: Val Loss: 0.0099, CER: 0.0293, Word Accuracy: 0.8643
2025-05-12 19:02:01,556 (xlit_task:249)  INFO: Epoch 14 duration: 200.56 sec | ETA: 02:00:20
2025-05-12 19:02:01,562 (save:32)  INFO: Saved best training loss model at epoch 14.
2025-05-12 19:02:01,568 (save:38)  INFO: Saved best validation loss model at epoch 14.
2025-05-12 19:02:01,573 (save:44)  INFO: Saved best word accuracy model at epoch 14.
2025-05-12 19:02:01,579 (save:48)  INFO: Saved latest model at epoch 14.
2025-05-12 19:02:01,582 (save:73)  INFO: Removed evicted model from epoch 9.
2025-05-12 19:02:02,823 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:02:02,824 (xlit_task:190)  INFO: Epoch 15/50
2025-05-12 19:05:03,999 (xlit_task:200)  INFO: Train Loss: 0.0111
2025-05-12 19:05:23,935 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 15.
2025-05-12 19:05:23,937 (xlit_task:238)  INFO: Val Loss: 0.0098, CER: 0.0277, Word Accuracy: 0.8700
2025-05-12 19:05:23,938 (xlit_task:249)  INFO: Epoch 15 duration: 201.11 sec | ETA: 01:57:18
2025-05-12 19:05:23,944 (save:32)  INFO: Saved best training loss model at epoch 15.
2025-05-12 19:05:23,950 (save:38)  INFO: Saved best validation loss model at epoch 15.
2025-05-12 19:05:23,955 (save:44)  INFO: Saved best word accuracy model at epoch 15.
2025-05-12 19:05:23,960 (save:48)  INFO: Saved latest model at epoch 15.
2025-05-12 19:05:23,963 (save:73)  INFO: Removed evicted model from epoch 10.
2025-05-12 19:05:25,217 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:05:25,218 (xlit_task:190)  INFO: Epoch 16/50
2025-05-12 19:08:27,345 (xlit_task:200)  INFO: Train Loss: 0.0106
2025-05-12 19:08:47,569 (xlit_task:238)  INFO: Val Loss: 0.0095, CER: 0.0279, Word Accuracy: 0.8688
2025-05-12 19:08:47,570 (xlit_task:249)  INFO: Epoch 16 duration: 202.35 sec | ETA: 01:54:39
2025-05-12 19:08:47,577 (save:32)  INFO: Saved best training loss model at epoch 16.
2025-05-12 19:08:47,584 (save:38)  INFO: Saved best validation loss model at epoch 16.
2025-05-12 19:08:47,590 (save:48)  INFO: Saved latest model at epoch 16.
2025-05-12 19:08:47,592 (save:73)  INFO: Removed evicted model from epoch 11.
2025-05-12 19:08:48,847 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:08:48,848 (xlit_task:190)  INFO: Epoch 17/50
2025-05-12 19:11:50,528 (xlit_task:200)  INFO: Train Loss: 0.0099
2025-05-12 19:12:12,206 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 17.
2025-05-12 19:12:12,207 (xlit_task:238)  INFO: Val Loss: 0.0094, CER: 0.0259, Word Accuracy: 0.8797
2025-05-12 19:12:12,208 (xlit_task:249)  INFO: Epoch 17 duration: 203.36 sec | ETA: 01:51:50
2025-05-12 19:12:12,213 (save:32)  INFO: Saved best training loss model at epoch 17.
2025-05-12 19:12:12,218 (save:38)  INFO: Saved best validation loss model at epoch 17.
2025-05-12 19:12:12,223 (save:44)  INFO: Saved best word accuracy model at epoch 17.
2025-05-12 19:12:12,228 (save:48)  INFO: Saved latest model at epoch 17.
2025-05-12 19:12:12,230 (save:73)  INFO: Removed evicted model from epoch 12.
2025-05-12 19:12:13,510 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:12:13,511 (xlit_task:190)  INFO: Epoch 18/50
2025-05-12 19:15:15,197 (xlit_task:200)  INFO: Train Loss: 0.0094
2025-05-12 19:15:35,408 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 18.
2025-05-12 19:15:35,409 (xlit_task:238)  INFO: Val Loss: 0.0089, CER: 0.0250, Word Accuracy: 0.8810
2025-05-12 19:15:35,410 (xlit_task:249)  INFO: Epoch 18 duration: 201.90 sec | ETA: 01:47:40
2025-05-12 19:15:35,417 (save:32)  INFO: Saved best training loss model at epoch 18.
2025-05-12 19:15:35,422 (save:38)  INFO: Saved best validation loss model at epoch 18.
2025-05-12 19:15:35,428 (save:44)  INFO: Saved best word accuracy model at epoch 18.
2025-05-12 19:15:35,433 (save:48)  INFO: Saved latest model at epoch 18.
2025-05-12 19:15:35,436 (save:73)  INFO: Removed evicted model from epoch 13.
2025-05-12 19:15:36,691 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:15:36,692 (xlit_task:190)  INFO: Epoch 19/50
2025-05-12 19:18:42,618 (xlit_task:200)  INFO: Train Loss: 0.0088
2025-05-12 19:19:02,854 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 19.
2025-05-12 19:19:02,855 (xlit_task:238)  INFO: Val Loss: 0.0084, CER: 0.0238, Word Accuracy: 0.8864
2025-05-12 19:19:02,856 (xlit_task:249)  INFO: Epoch 19 duration: 206.16 sec | ETA: 01:46:31
2025-05-12 19:19:02,862 (save:32)  INFO: Saved best training loss model at epoch 19.
2025-05-12 19:19:02,868 (save:38)  INFO: Saved best validation loss model at epoch 19.
2025-05-12 19:19:02,874 (save:44)  INFO: Saved best word accuracy model at epoch 19.
2025-05-12 19:19:02,879 (save:48)  INFO: Saved latest model at epoch 19.
2025-05-12 19:19:02,882 (save:73)  INFO: Removed evicted model from epoch 14.
2025-05-12 19:19:04,137 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:19:04,138 (xlit_task:190)  INFO: Epoch 20/50
2025-05-12 19:22:03,701 (xlit_task:200)  INFO: Train Loss: 0.0083
2025-05-12 19:22:23,780 (xlit_task:238)  INFO: Val Loss: 0.0088, CER: 0.0239, Word Accuracy: 0.8848
2025-05-12 19:22:23,782 (xlit_task:249)  INFO: Epoch 20 duration: 199.64 sec | ETA: 01:39:49
2025-05-12 19:22:23,789 (save:32)  INFO: Saved best training loss model at epoch 20.
2025-05-12 19:22:23,796 (save:48)  INFO: Saved latest model at epoch 20.
2025-05-12 19:22:23,799 (save:73)  INFO: Removed evicted model from epoch 15.
2025-05-12 19:22:25,062 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:22:25,063 (xlit_task:190)  INFO: Epoch 21/50
2025-05-12 19:25:26,160 (xlit_task:200)  INFO: Train Loss: 0.0082
2025-05-12 19:25:46,635 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 21.
2025-05-12 19:25:46,636 (xlit_task:238)  INFO: Val Loss: 0.0083, CER: 0.0223, Word Accuracy: 0.8932
2025-05-12 19:25:46,637 (xlit_task:249)  INFO: Epoch 21 duration: 201.57 sec | ETA: 01:37:25
2025-05-12 19:25:46,644 (save:32)  INFO: Saved best training loss model at epoch 21.
2025-05-12 19:25:46,649 (save:38)  INFO: Saved best validation loss model at epoch 21.
2025-05-12 19:25:46,655 (save:44)  INFO: Saved best word accuracy model at epoch 21.
2025-05-12 19:25:46,660 (save:48)  INFO: Saved latest model at epoch 21.
2025-05-12 19:25:46,663 (save:73)  INFO: Removed evicted model from epoch 16.
2025-05-12 19:25:47,938 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:25:47,940 (xlit_task:190)  INFO: Epoch 22/50
2025-05-12 19:28:50,653 (xlit_task:200)  INFO: Train Loss: 0.0078
2025-05-12 19:29:11,480 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 22.
2025-05-12 19:29:11,481 (xlit_task:238)  INFO: Val Loss: 0.0079, CER: 0.0214, Word Accuracy: 0.8960
2025-05-12 19:29:11,483 (xlit_task:249)  INFO: Epoch 22 duration: 203.54 sec | ETA: 01:34:59
2025-05-12 19:29:11,489 (save:32)  INFO: Saved best training loss model at epoch 22.
2025-05-12 19:29:11,494 (save:38)  INFO: Saved best validation loss model at epoch 22.
2025-05-12 19:29:11,500 (save:44)  INFO: Saved best word accuracy model at epoch 22.
2025-05-12 19:29:11,505 (save:48)  INFO: Saved latest model at epoch 22.
2025-05-12 19:29:11,508 (save:73)  INFO: Removed evicted model from epoch 17.
2025-05-12 19:29:12,732 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:29:12,733 (xlit_task:190)  INFO: Epoch 23/50
2025-05-12 19:32:14,825 (xlit_task:200)  INFO: Train Loss: 0.0073
2025-05-12 19:32:35,130 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 23.
2025-05-12 19:32:35,131 (xlit_task:238)  INFO: Val Loss: 0.0079, CER: 0.0209, Word Accuracy: 0.8991
2025-05-12 19:32:35,132 (xlit_task:249)  INFO: Epoch 23 duration: 202.40 sec | ETA: 01:31:04
2025-05-12 19:32:35,138 (save:32)  INFO: Saved best training loss model at epoch 23.
2025-05-12 19:32:35,144 (save:44)  INFO: Saved best word accuracy model at epoch 23.
2025-05-12 19:32:35,149 (save:48)  INFO: Saved latest model at epoch 23.
2025-05-12 19:32:35,152 (save:73)  INFO: Removed evicted model from epoch 18.
2025-05-12 19:32:36,367 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:32:36,368 (xlit_task:190)  INFO: Epoch 24/50
2025-05-12 19:35:37,055 (xlit_task:200)  INFO: Train Loss: 0.0072
2025-05-12 19:35:57,185 (xlit_task:238)  INFO: Val Loss: 0.0079, CER: 0.0216, Word Accuracy: 0.8960
2025-05-12 19:35:57,186 (xlit_task:249)  INFO: Epoch 24 duration: 200.82 sec | ETA: 01:27:01
2025-05-12 19:35:57,193 (save:32)  INFO: Saved best training loss model at epoch 24.
2025-05-12 19:35:57,200 (save:48)  INFO: Saved latest model at epoch 24.
2025-05-12 19:35:57,202 (save:73)  INFO: Removed evicted model from epoch 20.
2025-05-12 19:35:58,410 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:35:58,411 (xlit_task:190)  INFO: Epoch 25/50
2025-05-12 19:38:59,747 (xlit_task:200)  INFO: Train Loss: 0.0069
2025-05-12 19:39:19,773 (xlit_task:238)  INFO: Val Loss: 0.0078, CER: 0.0214, Word Accuracy: 0.8959
2025-05-12 19:39:19,775 (xlit_task:249)  INFO: Epoch 25 duration: 201.36 sec | ETA: 01:23:54
2025-05-12 19:39:19,782 (save:32)  INFO: Saved best training loss model at epoch 25.
2025-05-12 19:39:19,789 (save:38)  INFO: Saved best validation loss model at epoch 25.
2025-05-12 19:39:19,794 (save:48)  INFO: Saved latest model at epoch 25.
2025-05-12 19:39:19,797 (save:73)  INFO: Removed evicted model from epoch 19.
2025-05-12 19:39:21,020 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:39:21,021 (xlit_task:190)  INFO: Epoch 26/50
2025-05-12 19:42:22,772 (xlit_task:200)  INFO: Train Loss: 0.0065
2025-05-12 19:42:42,552 (xlit_task:238)  INFO: Val Loss: 0.0080, CER: 0.0207, Word Accuracy: 0.8986
2025-05-12 19:42:42,554 (xlit_task:249)  INFO: Epoch 26 duration: 201.53 sec | ETA: 01:20:36
2025-05-12 19:42:42,561 (save:32)  INFO: Saved best training loss model at epoch 26.
2025-05-12 19:42:42,568 (save:48)  INFO: Saved latest model at epoch 26.
2025-05-12 19:42:42,570 (save:73)  INFO: Removed evicted model from epoch 21.
2025-05-12 19:42:43,770 (xlit_task:274)  INFO: Saved [loss, wa, cer] curves at exp/xlit_train_lstm_char_ben_mni/images
2025-05-12 19:42:43,772 (xlit_task:190)  INFO: Epoch 27/50
2025-05-12 19:45:41,978 (xlit_task:200)  INFO: Train Loss: 0.0065
2025-05-12 19:46:00,952 (xlit_task:227)  INFO: Saved best word accuracy predictions at epoch 27.
2025-05-12 19:46:00,953 (xlit_task:238)  INFO: Val Loss: 0.0077, CER: 0.0202, Word Accuracy: 0.9019
2025-05-12 19:46:00,954 (xlit_task:249)  INFO: Epoch 27 duration: 197.18 sec | ETA: 01:15:35
2025-05-12 19:46:00,960 (save:32)  INFO: Saved best training loss model at epoch 27.
2025-05-12 19:46:00,966 (save:38)  INFO: Saved best validation loss model at epoch 27.
2025-05-12 19:46:00,971 (save:44)  INFO: Saved best word accuracy model at epoch 27.
2025-05-12 19:46:00,976 (save:48)  INFO: Saved latest model at epoch 27.
2025-05-12 19:46:00,979 (save:73)  INFO: Removed evicted model from epoch 26.
